epoch,hp_metric,loss,step,val_NED,val_accuracy,val_loss
0,0.0,,19,17.352941513061523,0.0,2.40087890625
1,0.0,,39,16.372549057006836,0.0,2.4195363521575928
2,,2.356006383895874,49,,,
2,0.0,,59,26.372549057006836,0.0,2.183452844619751
3,0.0,,79,22.89215660095215,0.0,1.987051248550415
4,,2.061075210571289,99,,,
4,0.0,,99,33.97058868408203,0.0,1.7568645477294922
5,0.0,,119,35.29411697387695,0.0,1.7225732803344727
6,0.0,,139,33.088233947753906,0.0,1.7231221199035645
7,,1.7297229766845703,149,,,
7,0.0,,159,29.019607543945312,0.0,1.7229008674621582
8,0.0,,179,27.54901885986328,0.0,1.7337501049041748
9,,1.6622059345245361,199,,,
9,0.0,,199,27.54901885986328,0.0,1.7340431213378906
